Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
74,185,708,343,104,89,93,51
71,175,703,313,99,86,94,49
79,218,756,361,104,81,77,48
80,212,799,363,104,79,77,44
70,183,644,315,92,76,84,41
63,181,630,315,90,69,76,41
71,218,674,330,103,81,83,47
63,180,586,285,102,92,94,47
69,209,594,293,103,96,101,53
72,217,567,288,101,91,93,53
73,224,584,301,101,93,89,50
65,191,564,299,94,87,80,47
61,185,607,290,84,73,70,45
48,144,500,233,66,60,60,36
48,133,555,276,80,67,69,40
54,150,578,325,110,75,76,46
58,164,600,335,116,78,78,46
59,165,578,368,128,90,89,47
61,169,599,386,139,101,110,50
57,180,562,382,139,97,104,46
65,177,609,447,139,99,106,48
76,182,598,461,145,102,109,53
77,194,602,458,145,103,109,51
80,203,585,456,137,95,89,51
85,208,636,481,146,105,98,54
74,198,553,380,125,98,103,50
60,184,512,357,118,94,101,42
68,181,508,334,108,89,98,43
63,176,565,327,113,90,97,42
56,161,514,265,94,78,94,37
59,152,525,258,98,79,83,35
71,188,663,351,116,90,94,47
67,190,671,362,117,88,87,46
80,187,658,406,134,98,92,52
82,195,675,438,142,100,90,57
84,198,724,467,146,100,92,57
78,192,619,404,132,95,90,52
80,197,607,406,132,97,94,52
68,229,588,366,113,86,90,45
71,230,570,379,105,82,86,41
71,235,625,377,106,90,97,48
77,222,614,404,117,93,89,46
76,228,606,395,116,90,88,49
77,219,633,384,112,88,89,50
85,237,661,368,120,103,93,54
88,248,576,365,116,97,86,49
83,238,629,314,96,88,88,49
82,221,644,326,97,91,85,44
80,204,658,351,100,99,91,44
77,177,703,383,99,88,90,41
77,229,749,410,113,90,82,42
75,234,747,448,118,91,79,37
76,250,775,500,122,91,80,41
110,255,770,496,133,92,80,55
116,273,818,517,142,101,87,58
114,215,765,497,135,103,97,59
115,227,725,481,135,104,98,61
131,281,761,506,153,117,110,73
113,279,741,498,150,115,107,68
106,284,620,417,137,109,100,66
112,290,672,418,136,103,90,66
117,287,723,455,138,102,93,68
106,278,751,486,126,87,84,61
99,268,723,483,114,79,77,55
92,249,703,491,113,78,80,52
82,242,654,482,112,82,86,52
79,235,670,475,108,81,84,50
70,173,557,337,93,83,88,43
66,177,560,324,92,84,96,45
70,175,563,332,99,84,97,49
80,184,597,315,93,81,97,52
74,220,571,265,92,78,91,51
70,209,536,260,90,78,99,51
68,214,570,263,97,85,98,52
69,233,660,376,116,93,100,50
57,240,742,379,116,105,111,49
51,208,690,380,115,106,114,48
50,225,717,380,112,102,103,45
68,235,716,409,115,100,103,43
72,252,657,341,93,93,101,46
74,240,501,322,88,75,86,42
77,255,497,306,85,73,88,45
80,254,523,384,111,77,83,48
69,238,491,356,118,95,93,54
68,211,489,346,134,117,113,58
66,225,485,347,134,120,113,59
66,200,464,354,136,121,109,57
71,204,459,286,122,119,111,57
76,220,535,303,111,105,103,54
73,200,494,250,81,78,74,44
72,182,541,261,87,77,78,43
71,205,601,261,87,79,77,43
69,187,613,282,86,75,74,43
69,185,635,301,92,75,69,40
66,194,644,317,96,74,72,42
68,189,679,377,95,72,69,45
77,215,707,410,104,80,72,50
71,225,686,383,102,79,76,46
64,220,612,354,94,76,74,45
68,221,643,351,101,88,83,44
74,225,632,320,96,87,86,45
68,178,557,294,83,77,89,43
77,247,544,323,89,86,89,45
86,357,574,312,99,97,88,45
85,365,625,330,105,89,80,49
89,389,628,357,119,97,80,47
109,404,676,392,124,103,81,48
104,376,687,370,120,98,80,49
96,275,666,385,120,96,83,47
101,301,611,401,114,96,84,47
104,300,647,396,112,91,81,46
83,283,582,333,107,87,79,43
91,294,611,371,113,89,79,41
113,377,675,395,110,78,83,50
111,374,669,360,102,74,79,48
109,353,629,326,98,70,84,48
110,369,660,337,97,68,84,50
111,356,721,356,84,63,83,53
96,306,745,355,89,72,80,49
93,281,760,381,90,74,80,50
85,293,713,363,85,80,90,48
90,305,739,412,108,87,95,50
92,332,731,399,121,89,95,51
103,331,742,383,130,97,96,54
109,359,772,413,151,105,99,55
111,352,801,441,155,101,83,57
115,337,789,426,154,100,73,58
122,327,771,523,175,112,81,68
112,342,737,518,164,107,90,68
119,338,748,551,163,115,109,76
120,347,774,548,163,120,111,77
119,407,814,547,153,118,120,80
107,406,819,482,127,111,120,74
119,388,814,557,150,109,112,72
120,386,855,535,149,94,98,70
123,389,829,550,150,86,97,71
122,357,810,565,167,92,90,67
124,348,853,611,174,81,80,62
124,357,825,582,161,76,80,63
120,373,805,657,166,80,71,58
124,405,855,747,217,140,125,67
120,383,801,739,212,141,128,68
123,393,707,685,210,146,130,72
109,420,782,720,216,147,136,74
122,405,729,647,209,161,153,83
120,374,729,552,163,124,135,82
119,362,746,534,155,116,132,80
113,385,840,565,152,112,129,77
123,327,824,623,206,133,132,80
103,307,806,590,202,120,117,68
99,317,780,591,201,120,96,63
101,340,782,615,216,139,108,68
101,323,646,596,214,142,110,66
96,332,633,472,147,127,102,62
93,348,615,469,135,117,95,63
96,352,608,420,120,106,87,57
97,344,672,417,101,101,84,58
106,322,770,464,124,109,88,59
98,318,739,470,136,106,83,55
105,298,752,487,148,111,93,57
99,305,757,532,159,116,94,59
97,352,720,522,158,99,85,54
79,351,679,440,133,83,88,49
84,351,678,410,131,91,99,51
73,351,693,400,123,85,94,48
78,329,698,342,116,89,100,47
69,255,673,317,113,98,101,45
74,237,681,338,120,98,94,47
65,231,689,308,104,91,86,41
83,241,686,300,100,93,90,39
80,237,646,288,93,89,88,39
88,298,647,322,90,78,82,43
87,299,624,384,102,84,87,42
91,301,569,391,106,81,83,47
86,309,634,426,113,79,77,52
80,295,646,427,114,70,69,49
74,244,643,408,112,74,73,46
82,252,613,376,111,86,84,48
79,238,586,382,107,81,83,46
72,243,478,340,106,87,84,42
92,268,560,437,141,104,84,51
100,275,648,460,141,108,108,61
91,268,638,429,133,107,117,62
92,258,648,420,136,111,117,63
92,216,630,418,134,108,117,63
79,254,646,378,105,100,127,60
67,232,546,312,101,95,122,54
76,270,586,299,95,84,106,52
75,280,636,317,97,82,106,51
77,288,641,309,91,80,106,50
75,231,533,233,82,75,98,50
82,230,587,308,108,88,93,55
84,183,522,302,109,85,88,56
94,180,500,350,120,91,92,58
89,175,526,368,126,97,91,57
89,217,583,384,123,93,90,57
81,238,534,338,98,75,76,50
