Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
334,248,112,66,58,94,204,252
303,243,118,71,62,95,200,229
300,228,110,71,62,102,202,255
277,280,122,73,64,103,205,259
307,260,113,68,60,121,204,295
271,255,110,66,58,131,181,267
267,260,128,64,55,127,169,264
308,302,129,65,57,122,163,248
366,251,123,67,66,141,168,239
360,240,125,64,64,133,167,170
381,272,129,67,72,128,173,265
383,254,122,64,70,131,176,268
411,189,119,63,68,131,182,265
375,197,114,66,66,129,197,284
362,283,122,63,62,122,187,305
357,262,121,59,53,125,186,240
403,257,127,58,51,119,186,233
349,255,151,58,52,124,205,240
348,258,156,49,42,112,191,218
346,227,156,57,52,114,181,199
336,241,159,57,49,102,173,198
266,254,155,63,59,130,199,209
371,261,132,65,63,124,177,223
361,295,138,73,67,131,184,216
366,269,138,71,62,122,193,270
388,255,140,72,61,122,192,274
443,263,133,72,59,97,163,271
372,300,146,75,64,120,178,266
378,258,147,67,58,107,159,270
380,249,149,67,61,119,147,220
371,246,155,71,65,132,166,239
361,278,160,65,59,135,195,237
368,238,148,59,53,122,193,227
377,254,141,60,54,119,194,226
359,261,131,57,51,109,193,206
361,276,128,63,61,121,198,182
316,228,116,66,69,145,202,228
287,217,124,64,68,144,190,222
275,203,134,66,69,147,186,219
285,198,138,67,70,155,199,247
260,175,125,59,62,151,194,250
269,172,128,59,58,130,170,208
295,176,127,63,60,127,171,215
307,210,118,65,63,135,178,256
317,214,133,67,61,136,159,237
309,232,131,71,64,149,142,216
339,239,132,69,72,200,157,226
335,285,151,69,74,210,158,226
310,269,148,69,72,205,149,183
290,259,133,69,80,222,187,177
366,239,135,69,91,262,288,217
371,254,150,84,94,237,289,213
372,212,131,80,90,230,293,208
406,242,126,80,89,230,299,224
428,241,133,82,86,214,280,232
394,257,157,80,69,141,197,225
376,248,150,72,61,131,184,221
416,246,159,76,66,132,174,228
417,233,170,81,71,140,203,222
409,232,166,78,68,136,209,235
372,215,151,77,66,127,191,205
343,198,144,70,59,108,185,203
279,216,128,68,58,117,198,198
352,189,117,64,54,124,217,186
351,183,123,70,61,117,216,195
400,191,120,66,61,118,216,193
441,209,116,64,66,136,263,214
484,212,123,62,64,129,274,211
419,248,134,62,63,113,251,279
406,253,134,58,57,116,258,280
403,282,136,61,60,118,268,309
415,299,136,62,56,110,241,315
401,278,130,58,55,110,218,340
409,245,131,55,50,113,196,296
468,298,134,56,48,115,192,285
426,280,131,55,47,118,180,271
417,262,138,61,46,104,169,295
396,275,153,68,53,102,177,282
394,298,144,67,58,101,191,292
320,239,137,61,57,97,178,286
356,246,134,62,56,100,185,279
329,248,136,62,65,157,261,279
322,258,119,57,60,156,255,277
290,237,115,60,61,158,254,262
295,250,113,61,64,158,255,261
303,253,124,72,73,173,271,281
371,250,114,67,66,135,199,283
363,259,119,67,67,131,203,275
377,257,126,66,62,123,188,269
371,248,136,67,60,120,181,267
349,251,135,64,49,94,147,236
269,281,136,63,48,94,166,217
273,285,130,60,46,96,157,209
264,283,136,58,47,96,155,204
315,295,143,68,51,97,163,239
298,286,141,63,54,106,176,256
287,241,140,63,53,94,145,230
336,195,141,66,55,94,157,275
358,214,133,72,67,105,178,290
339,273,136,73,74,123,198,270
350,271,138,75,76,116,189,263
364,277,138,77,79,125,215,271
335,308,143,77,78,128,218,233
314,309,141,74,69,122,204,215
300,296,131,76,70,111,187,208
285,290,139,76,68,116,179,203
255,298,136,75,66,127,179,212
249,273,158,77,64,129,174,250
317,323,162,80,69,134,174,266
355,281,159,77,65,132,175,261
358,275,154,74,61,130,181,255
377,288,157,75,59,119,177,247
